year,abbr,male_prev,male_ci_l,male_ci_u,female_prev,female_ci_l,female_ci_u,white_prev,white_ci_l,white_ci_u,black_prev,black_ci_l,black_ci_u,hisp_prev,hisp_ci_l,hisp_ci_u,api_prev,api_ci_l,api_ci_u,aian_prev,aian_ci_l,aian_ci_u
2000,US,,,,,,,,,,,,,,,,,,,,,
2002,US,11.5,,,2.7,,,7.7,,,6.5,,,,,,,,,,,
2004,US,12.9,12.2,13.7,2.9,2.6,3.3,9.7,9.1,10.4,6.9,6.2,7.6,6.2,5,7.5,,,,,,
2006,US,14.5,13.9,15.1,3.2,2.9,3.5,9.9,9.4,10.4,7.2,6.6,7.8,5.9,5.3,6.6,,,,,,
2008,US,18.4,17.7,19,4,3.7,4.3,12,11.5,12.5,10.2,9.5,10.9,7.9,7.2,8.6,9.7,8.1,11.6,,,
2010,US,23.7,23,24.4,5.3,5,5.7,15.8,15.2,16.3,12.3,11.5,13.1,10.8,10,11.6,12.3,10.7,14.2,,,
2012,US,23.4,22.7,24.1,5.2,4.9,5.6,15.3,14.7,15.9,13.1,12.3,13.9,10.1,9.4,10.9,11.4,9.9,13.1,,,
2014,US,26.6,25.8,27.4,6.6,6.2,7,17.2,16.5,17.8,16,15.1,16.9,14,13.1,14.9,13.5,11.8,15.4,,,
2016,US,29.7,28.8,30.6,6.9,6.5,7.4,18.5,17.9,19.3,18.3,17.2,19.4,15.4,14.4,16.4,17.9,15.9,20.1,,,
2018,US,36.5,35.4,37.6,8.8,8.2,9.4,21.2,20.3,22,22.3,21,23.7,22.5,21.2,23.9,22.2,19.8,24.8,29,21.3,39.4
