year,abbr,male_prev,male_ci_l,male_ci_u,female_prev,female_ci_l,female_ci_u,white_prev,white_ci_l,white_ci_u,black_prev,black_ci_l,black_ci_u,hisp_prev,hisp_ci_l,hisp_ci_u,api_prev,api_ci_l,api_ci_u,aian_prev,aian_ci_l,aian_ci_u
2000,AZ,9.7,8.5,11.1,3.2,2.5,4,8.6,7.5,9.8,7.3,4.4,12.2,,,,,,,,,
2000,GA,11,9.7,12.4,2,1.5,2.7,7.9,6.7,9.3,5.3,4.4,6.4,,,,,,,,,
2000,MD,8.6,7.1,10.6,2.2,1.5,2.7,4.9,3.8,6.4,6.1,4.7,8,,,,,,,,,
2000,NJ,14.8,13,16.8,4.3,3.3,5.5,11.3,9.5,13.3,10.6,8.5,13.1,,,,,,,,,
2000,SC,9.3,7.8,11.2,3.3,2.4,4.5,6.5,5.2,8.2,5.8,4.5,7.3,,,,,,,,,
2000,WV,6.6,5.2,8.2,2.4,1.6,3.5,4.5,3.7,5.5,,,,,,,,,,,,
2002,AL,5,4.1,6.2,1.4,0.9,2.1,3.3,2.6,4.1,3.4,2.4,4.8,1.9,0.5,7.7,,,,,,
2002,AZ,10.1,8.8,11.4,2.2,1.7,2.9,7.7,6.7,8.9,6.3,3.8,10.5,3.4,2.6,4.5,2.6,0.8,8,,,
2002,AR,10.7,9.3,12.3,2.9,2.2,3.8,7.4,6.5,8.6,5.8,4.3,7.8,2.9,1.3,6.4,,,,,,
2002,CO,9.9,7.6,12.9,1.7,0.9,3.2,6.4,4.8,8.5,6.4,2.9,14.3,2,0.7,5.3,6.3,2,19.6,,,
2002,GA,12.4,11,13.9,2.6,2.3,3.4,8.9,7.7,10.4,6.8,5.7,8,4.6,3,7.1,5,2.7,9.3,,,
2002,MD,10.2,8.7,11.9,3,2.3,4.1,7,5.8,7.3,6.2,4.9,5.8,1.4,0.2,9.7,3.2,1,9.9,,,
2002,MO,11.3,9.7,13.2,3.1,2.3,4.3,7.7,6.5,9,4.7,3.4,6.5,1.8,0.3,13,7.1,2.7,19,,,
2002,NJ,16.8,14.9,19,4,3.1,5.2,12.5,10.7,14.6,7.7,6,9.9,9.7,7.7,12.3,14,9.2,21.2,,,
2002,NC,10.6,8.9,12.8,2.1,1.4,3.2,6.4,5.2,8,7.2,5.4,9.6,4.1,2,8.6,1.9,0.3,13.7,,,
2002,PA,8.7,7.1,10.6,1.8,1.2,2.9,7.6,5.7,10.2,4.2,3.2,5.6,4.7,2.8,8,1.2,0.2,8.2,,,
2002,SC,9.2,7.6,11.1,2.7,1.9,3.9,6,4.8,7.6,5.5,4.2,7.1,4.4,1.4,13.6,4.5,0.6,32,,,
2002,UT,12.7,11,14.8,2,1.3,2.9,8,6.9,9.3,5.5,1.4,22,4.4,2.6,7.2,2.2,0.6,8.8,,,
2002,WV,11,9.2,13.1,3,2.1,4.2,6.8,5.7,8,6.4,2.9,14.2,,,,,,,,,
2002,WI,7.9,6.7,9.3,2.3,1.7,3.1,5.9,5,6.9,3.7,2.5,5.5,0.3,0,2.1,3.8,1.4,10.1,,,
2004,AL,6.8,5,9.3,2.3,1.3,3.9,3.8,2.6,5.6,6,4.1,8.8,,,,,,,,,
2004,AZ,15.8,13.1,19.1,3.6,2.4,5.3,12.6,10.2,15.7,5.6,2.1,15,7,5.1,9.6,11.9,4.9,28.5,,,
2004,GA,14.1,12.6,15.7,3.6,2.8,4.4,9.7,8.4,11.3,7.9,6.8,9.3,6.4,4.5,9,8.1,5.2,12.6,,,
2004,MD,14.1,12,16.5,3.2,2.3,4.6,7.4,6.2,9,12.8,9.8,16.7,8.8,3.9,19.5,12.3,7,21.7,,,
2004,MO,13.5,11.7,15.6,2.8,2,3.8,8.7,7.5,10.2,3.2,2.1,4.8,5.5,2.1,14.6,4.3,1.4,13.4,,,
2004,NC,14.8,12.6,17.3,2.4,1.6,3.6,8.6,7,10.4,9,6.8,11.8,6.8,4,11.4,5.3,1.7,16.3,,,
2004,SC,8.9,7.4,10.8,1.5,0.9,2.4,5.5,4.3,7,4.1,3,5.6,2.4,0.6,9.7,,,,,,
