Location,Denominator,Prevalence,Lower CI,Upper CI,Year,Source
AZ,45322,6.5,5.8,7.3,2000,addm
GA,43593,6.5,5.8,7.3,2000,addm
MD,21532,5.5,4.6,6.6,2000,addm
NJ,29714,9.9,8.9,11.1,2000,addm
SC,24535,6.3,5.4,7.4,2000,addm
US,,6.7,6.3,7,2000,addm
WV,23065,4.5,3.7,5.5,2000,addm
AL,35472,3.3,2.7,3.9,2002,addm
AR,36472,6.9,6.1,7.8,2002,addm
AZ,45113,6.2,5.5,7,2002,addm
CO,11020,5.9,4.6,7.5,2002,addm
GA,44299,7.6,6.8,8.5,2002,addm
MD,29722,6.7,5.8,7.7,2002,addm
MO,28049,7.3,6.4,8.4,2002,addm
NC,20725,6.5,5.5,7.7,2002,addm
NJ,29748,10.6,9.5,11.9,2002,addm
PA,21061,5.3,4.4,6.3,2002,addm
SC,23191,6,5.1,7.1,2002,addm
US,,6.6,6.3,6.8,2002,addm
UT,26108,7.5,6.5,8.6,2002,addm
WI,35126,5.2,4.5,6,2002,addm
WV,21472,7.1,6.1,8.3,2002,addm
AL,11676,4.6,3.5,6,2004,addm
AZ,13620,9.8,8.2,11.6,2004,addm
GA,45190,8.9,8,9.8,2004,addm
MD,20981,8.8,7.6,10.2,2004,addm
MO,26970,8.2,7.2,9.3,2004,addm
NC,20187,8.7,7.5,10.1,2004,addm
SC,22399,5.3,4.4,6.3,2004,addm
US,,8,7.6,8.4,2004,addm
WI,11312,7.8,6.3,9.6,2004,addm
AL,35126,6,5.3,6.9,2006,addm
AZ,41650,12.1,11.1,13.2,2006,addm
CO,7184,7.5,5.8,9.8,2006,addm
FL,27615,4.2,3.5,5,2006,addm
GA,46621,10.2,9.3,11.1,2006,addm
MD,26489,9.2,8.1,10.4,2006,addm
MO,26533,12.1,10.9,13.5,2006,addm
NC,22195,10.4,9.1,11.8,2006,addm
PA,17886,8.4,7.2,9.8,2006,addm
SC,22681,8.6,7.5,9.9,2006,addm
US,,9,8.6,9.3,2006,addm
WI,34058,7.5,6.7,8.5,2006,addm
AL,36566,4.8,4.1,5.5,2008,addm
AR,4940,10.5,8,13.8,2008,addm
AZ,32601,15.6,14.3,17,2008,addm
