Age,Months,State,Cumulative Incidence,"95% Confidence Interval, Lower","95% Confidence Interval, Upper",Survey Year
4,1,AZ,0,-2.70935E-17,0.426788855,2016
4,2,AZ,0,-2.70935E-17,0.426788855,2016
4,3,AZ,0,-2.70935E-17,0.426788855,2016
4,4,AZ,0,-2.70935E-17,0.426788855,2016
4,5,AZ,0,-2.70935E-17,0.426788855,2016
4,6,AZ,0,-2.70935E-17,0.426788855,2016
4,7,AZ,0,-2.70935E-17,0.426788855,2016
4,8,AZ,0,-2.70935E-17,0.426788855,2016
4,9,AZ,0,-2.70935E-17,0.426788855,2016
4,10,AZ,0,-2.70935E-17,0.426788855,2016
4,11,AZ,0,-2.70935E-17,0.426788855,2016
4,12,AZ,0,-2.70935E-17,0.426788855,2016
4,13,AZ,0,-2.70935E-17,0.426788855,2016
4,14,AZ,0,-2.70935E-17,0.426788855,2016
4,15,AZ,0,-2.70935E-17,0.426788855,2016
4,16,AZ,0,-2.70935E-17,0.426788855,2016
4,17,AZ,0,-2.70935E-17,0.426788855,2016
4,18,AZ,0,-2.70935E-17,0.426788855,2016
4,19,AZ,0,-2.70935E-17,0.426788855,2016
4,20,AZ,0.11114816,0.005701155,0.629369653,2016
4,21,AZ,0.222296321,0.060963786,0.810227964,2016
4,22,AZ,0.333444481,0.113407548,0.979985649,2016
4,23,AZ,0.444592642,0.172906551,1.142688094,2016
4,24,AZ,0.444592642,0.172906551,1.142688094,2016
4,25,AZ,0.444592642,0.172906551,1.142688094,2016
4,26,AZ,0.666888963,0.305675902,1.454321637,2016
4,27,AZ,0.778037123,0.376937631,1.605261356,2016
4,28,AZ,1.111481605,0.603863212,2.044940117,2016
4,29,AZ,1.333777926,0.763163981,2.330042243,2016
4,30,AZ,1.778370568,1.094985468,2.887026545,2016
4,31,AZ,2.22296321,1.439537379,3.431280424,2016
4,32,AZ,2.445259531,1.61542491,3.699795788,2016
4,33,AZ,2.556407691,1.704131401,3.833290745,2016
4,34,AZ,2.778704012,1.882915663,4.098909377,2016
4,35,AZ,3.112148494,2.154142593,4.494286789,2016
4,36,AZ,3.112148494,2.154142593,4.494286789,2016
4,37,AZ,3.445592975,2.42853943,4.886494295,2016
4,38,AZ,3.445592975,2.42853943,4.886494295,2016
4,39,AZ,3.445592975,2.42853943,4.886494295,2016
4,40,AZ,3.667889296,2.61301233,5.146424289,2016
4,41,AZ,3.779037457,2.705670217,5.27596785,2016
4,42,AZ,3.779037457,2.705670217,5.27596785,2016
4,43,AZ,4.112481938,2.985190823,5.663051586,2016
4,44,AZ,4.223630099,3.07884593,5.791597926,2016
4,45,AZ,4.223630099,3.07884593,5.791597926,2016
4,46,AZ,4.334778259,3.172726427,5.919918877,2016
4,47,AZ,4.334778259,3.172726427,5.919918877,2016
4,48,AZ,4.334778259,3.172726427,5.919918877,2016
4,1,CO,0,0,0.475084608,2016
4,2,CO,0,0,0.475084608,2016
4,3,CO,0,0,0.475084608,2016
4,4,CO,0,0,0.475084608,2016
4,5,CO,0,0,0.475084608,2016
4,6,CO,0,0,0.475084608,2016
4,7,CO,0,0,0.475084608,2016
4,8,CO,0,0,0.475084608,2016
4,9,CO,0,0,0.475084608,2016
4,10,CO,0,0,0.475084608,2016
4,11,CO,0,0,0.475084608,2016
4,12,CO,0,0,0.475084608,2016
4,13,CO,0,0,0.475084608,2016
4,14,CO,0,0,0.475084608,2016
4,15,CO,0,0,0.475084608,2016
4,16,CO,0,0,0.475084608,2016
4,17,CO,0,0,0.475084608,2016
4,18,CO,0,0,0.475084608,2016
4,19,CO,0.12373175,0.006346609,0.700588515,2016
4,20,CO,0.247463499,0.067866041,0.901910434,2016
4,21,CO,0.494926998,0.192483747,1.271984594,2016
4,22,CO,0.742390497,0.340287238,1.618872969,2016
4,23,CO,0.989853997,0.501666044,1.952186029,2016
4,24,CO,1.237317496,0.672242925,2.276301013,2016
