Code,Variable Label,Survey Question,0-5 Years Survey,6-11 Years Survey,12-17 Years Survey,Survey Section,Sub Section,Question Section,Skip Patterns,Answer Key - Codes,Notes
SC_AGE_YEARS,Age of Selected Child - In Years,How old is this child?,Q1,Q1,Q1,SECTION 1: Pre-Survey Screener,,,,_ _ _ Age in years,The # sign following each question number indicates which child in the household the response is referencing when there is more than one child in the household.
SC_SEX,Sex of Selected Child,What is this child’s sex?,Q2,Q2,Q2,SECTION 1: Pre-Survey Screener,,,,,The # sign following each question number indicates which child in the household the response is referencing when there is more than one child in the household.
SC_HISPANIC_R,"Hispanic Origin of Selected Child, Recode","Is this child of Hispanic, Latino, or Spanish origin? ",Q3,Q3,Q3,SECTION 1: Pre-Survey Screener,,,,,The # sign following each question number indicates which child in the household the response is referencing when there is more than one child in the household.
SC_RACE_R,"Race of Selected Child, Detailed",What is this child's race? [Mark one or more boxes] ,Q4,Q4,Q4,SECTION 1: Pre-Survey Screener,,,,,The # sign following each question number indicates which child in the household the response is referencing when there is more than one child in the household.
SC_ENGLISH,SC  Speaks English,How well does this child speak English? [only asked of children 4+ years old] ,Q5,Q5,Q5,SECTION 1: Pre-Survey Screener,,,,,The # sign following each question number indicates which child in the household the response is referencing when there is more than one child in the household.
SC_K2Q10,SC Needs or Uses Medication Currently,"Does this child CURRENTLY need or use medicine prescribed by a doctor, other than vitamins? ",Q6.1,Q6.1,Q6.1,SECTION 1: Pre-Survey Screener,,,"If No, Skip to question 8",,The # sign following each question number indicates which child in the household the response is referencing when there is more than one child in the household.
SC_K2Q11,SC Medication Used or Needed for Health Condition,"Is this child’’s need for prescription medicine because of ANY medical, behavioral, or other health condition?",Q6.2,Q6.2,Q6.2,SECTION 1: Pre-Survey Screener,,,"If No, Skip to question 8",,The # sign following each question number indicates which child in the household the response is referencing when there is more than one child in the household.
SC_K2Q12,SC Medication Currently for 12 Months,Is this a condition that has lasted or is expected to last 12 months or longer?,Q6.3,Q6.3,Q6.3,SECTION 1: Pre-Survey Screener,,,,,The # sign following each question number indicates which child in the household the response is referencing when there is more than one child in the household.
SC_K2Q13,SC Needs or Uses More Medical Care than Others,"Does this child need or use more medical care, mental health, or educational services than is usual for most children of the same age?",Q7.1,Q7.1,Q7.1,SECTION 1: Pre-Survey Screener,,,"If No, Skip to question 9",,The # sign following each question number indicates which child in the household the response is referencing when there is more than one child in the household.
SC_K2Q14,SC Medical Care Used or Needed for Health Condition,"Is this child’’s need for medical care, mental health, or educational services because of ANY medical, behavioral, or other health condition?",Q7.2,Q7.2,Q7.2,SECTION 1: Pre-Survey Screener,,,"If No, Skip to question 9",,The # sign following each question number indicates which child in the household the response is referencing when there is more than one child in the household.
SC_K2Q15,SC Medical Care Currently for 12 Months,Is this a condition that has lasted or is expected to last 12 months or longer?,Q7.3,Q7.3,Q7.3,SECTION 1: Pre-Survey Screener,,,,,The # sign following each question number indicates which child in the household the response is referencing when there is more than one child in the household.
SC_K2Q16,SC Limited Ability,Is this child limited or prevented in any way in his or her ability to do the things most children of the same age can do?,Q8.1,Q8.1,Q8.1,SECTION 1: Pre-Survey Screener ,,,"If No, Skip to question 10",,The # sign following each question number indicates which child in the household the response is referencing when there is more than one child in the household.
